阿姨	我去看望了我的阿姨。	I went to visit my aunt.
阿姨	阿姨在照顾孩子。	The nursemaid is taking care of the children.
阿姨	小朋友们都叫她阿姨。	The children all call her "auntie."
啊	你来了啊！	You came, huh!
啊	好啊，我们一起去吧。	Sure, let's go together.
啊	真漂亮啊！	It's really beautiful!
矮	他比我矮。	He is shorter than me.
矮	这张桌子太矮了。	This table is too low.
矮	她个子矮，但很灵活。	She is short but very agile.
爱好	我的爱好是画画。	My hobby is painting.
爱好	他爱好音乐。	He is fond of music.
爱好	你有什么爱好？	What are your hobbies?
安静	请保持安静。	Please keep quiet.
安静	这个地方很安静。	This place is very peaceful.
安静	她喜欢安静的环境。	She likes a calm environment.
把	请把门关上。	Please close the door.
把	他把书放在桌子上。	He put the book on the table.
把	你能把这个拿给我吗？	Can you hand this to me?
班	我们班有三十个学生。	There are thirty students in our class.
班	他在夜班工作。	He works the night shift.
班	这个班的同学都很友好。	The students in this class are all very friendly.
搬	我们下个月要搬家。	We are moving next month.
搬	他在搬桌子。	He is moving the table.
搬	你能帮我搬这个箱子吗？	Can you help me move this box?
半	我吃了半个苹果。	I ate half an apple.
半	电影已经放了一半。	The movie is already halfway through.
半	他只完成了任务的一半。	He only completed half of the task.
办法	你有什么好办法吗？	Do you have any good ideas?
办法	这是解决问题的好办法。	This is a good way to solve the problem.
办法	我没有其他办法了。	I have no other way.
办公室	我在办公室工作。	I work in an office.
办公室	她的办公室很大。	Her office is very big.
办公室	我们在办公室开会。	We have meetings in the office.
帮忙	你能帮忙吗？	Can you help?
帮忙	谢谢你的帮忙。	Thank you for your help.
帮忙	他经常帮忙邻居。	He often helps his neighbors.
包	我买了一个新包。	I bought a new bag.
包	请把礼物包起来。	Please wrap the gift.
包	这个项目由他包了。	He took charge of this project.
饱	我吃饱了。	I'm full.
饱	这顿饭真让人饱。	This meal is really filling.
饱	他对结果很饱。	He is very satisfied with the result.
北方	我来自北方。	I come from the north.
北方	北方的冬天很冷。	The winters in the north are very cold.
北方	北方菜很有特色。	Northern cuisine is very distinctive.
被	他被老师表扬了。	He was praised by the teacher.
被	她被雨淋湿了。	She was soaked by the rain.
被	这个消息被证实了。	This news has been confirmed.
鼻子	他的鼻子很高。	His nose is very high.
鼻子	她的鼻子很灵敏。	Her nose is very sensitive.
鼻子	我鼻子不通气。	My nose is blocked.
比较	这两个产品比较一下。	Compare these two products.
比较	他比较喜欢喝茶。	He prefers drinking tea.
比较	这个方法比较好。	This method is relatively better.
比赛	我们赢了比赛。	We won the match.
比赛	比赛很激烈。	The competition is intense.
比赛	他参加了篮球比赛。	He participated in the basketball game.
笔记本	我有一个新笔记本。	I have a new notebook.
笔记本	请把笔记本拿出来。	Please take out your notebook.
笔记本	他的笔记本电脑坏了。	His laptop is broken.
方便	这个商店离我家很近，非常方便。	This store is very close to my house, very convenient.
方便	你什么时候方便？	When is it convenient for you?
方便	这个应用程序使用起来很方便。	This app is very convenient to use.
令人激动	这场比赛真是令人激动。	This game is really exciting.
令人激动	他的新电影非常令人激动。	His new movie is very exciting.
令人激动	这个消息令人激动。	This news is exciting.
语法	学习中文语法很重要。	It's important to learn Chinese grammar.
语法	他的语法错误很多。	He makes a lot of grammar mistakes.
语法	这本书的语法解释得很清楚。	This book explains grammar very clearly.
叫...做...	我叫他帮我买东西。	I asked him to help me buy something.
叫...做...	老师叫学生们做作业。	The teacher asked the students to do their homework.
叫...做...	妈妈叫我去洗碗。	Mom asked me to wash the dishes.
教	他教我怎么做饭。	He teaches me how to cook.
教	她在学校教英语。	She teaches English at school.
教	我叫女朋友教我中文。	My girlfriend teaches me Chinese.
叫	他叫我去他家。	He called me to his house.
叫	这只狗叫得很大声。	This dog barks very loudly.
叫	我叫他一声，他没听见。	I called him, but he didn't hear.
让	妈妈让我早点回家。	Mom lets me come home early.
让	这件事让我很生气。	This matter makes me very angry.
让	我的女朋友让我喝酒。	My girlfriend allows me to drink alcohol.
小时候	小时候，我喜欢看电视。	When I was a kid, I liked to watch TV.
小时候	小时候，我常常去乡村玩。	When I was a kid, I often went to the countryside to play.
小时候	小时候，我的梦想是当医生。	When I was a kid, my dream was to be a doctor.
看电视	我每天晚上都看电视。	I watch TV every night.
看电视	他喜欢一边吃饭一边看电视。	He likes to watch TV while eating.
看电视	小时候，我喜欢看电视。	When I was a kid, I liked to watch TV.
搬	我们下个月要搬家。	We are moving next month.
搬	他帮我搬了很多东西。	He helped me move a lot of things.
搬	她让我帮她搬很重的东西。	She asked me to help her move a very heavy thing.
高级	这家餐厅很高级。	This restaurant is very fancy.
高级	他买了一辆高级轿车。	He bought a fancy car.
高级	她穿了一件高级礼服。	She wore a fancy dress.
有面子	他觉得开这辆车很有面子。	He feels proud driving this car.
有面子	给她买一个包包，她会觉得很有面子。	Buy her a bag, she will feel very proud.
有面子	他在公司里很有面子。	He is very respected in the company.
例子	老师给了我们很多例子。	The teacher gave us many examples.
例子	这个例子很容易理解。	This example is easy to understand.
例子	请举个例子说明。	Please give an example to explain.
作业	我还没做完作业。	I haven't finished my homework yet.
作业	老师布置了很多作业。	The teacher assigned a lot of homework.
作业	我叫他帮我做作业。	I asked him to help me with my homework.
陪	我每天陪她散步。	I accompany her for a walk every day.
陪	他陪我去看医生。	He accompanied me to see the doctor.
陪	我陪女朋友吃饭。	I have dinner with my girlfriend.
乡村	我喜欢乡村的生活。	I like the countryside life.
乡村	乡村的空气很新鲜。	The air in the countryside is very fresh.
乡村	小时候，我常常去乡村玩。	When I was a kid, I often went to the countryside to play.
如果	如果明天下雨，我们就不去。	If it rains tomorrow, we won't go.
如果	如果你有问题，可以问我。	If you have any questions, you can ask me.
如果	如果你不喜欢，可以换一个。	If you don't like it, you can change it.
这个房间很黑。	这个房间很黑，我看不清楚。	This room is dark, I can't see clearly.
这个房间很黑。	这个房间很黑，我们需要开灯。	This room is dark, we need to turn on the light.
这个房间很黑。	这个房间很黑，感觉有点可怕。	This room is dark, it feels a bit scary.
有道理	你的说法很有道理。	What you said makes sense.
有道理	他提出的建议很有道理。	His suggestion makes sense.
有道理	这个解释听起来很有道理。	This explanation sounds reasonable.
服务	这家餐厅的服务很好。	The service in this restaurant is very good.
服务	他在酒店工作，负责客房服务。	He works in a hotel, responsible for room service.
服务	我们需要提高客户服务质量。	We need to improve the quality of customer service.
服务员	服务员，请给我菜单。	Waiter, please give me the menu.
服务员	这家餐厅的服务员很友好。	The waiters in this restaurant are very friendly.
服务员	我叫服务员来帮忙。	I called the waiter to help.
小费	我们应该给服务员小费。	We should tip the waiter.
小费	他给了服务员百分之二十的小费。	He gave the waiter a 20% tip.
小费	在美国，给小费是很常见的。	In the U.S., tipping is very common.
发生	昨天发生了一件大事。	Something big happened yesterday.
发生	这个问题经常发生。	This problem occurs frequently.
发生	如果发生火灾，请立即报警。	If a fire occurs, please call the police immediately.
逛街	我喜欢周末去逛街。	I like to go shopping on weekends.
逛街	她和朋友一起逛街。	She goes shopping with her friends.
逛街	我们逛街的时候买了很多东西。	We bought a lot of things while shopping.
工具	这把刀是很好的工具。	This knife is a very good tool.
工具	他用这些工具修理汽车。	He uses these tools to repair cars.
工具	电脑是我们工作的重要工具。	The computer is an important tool for our work.
猫粮	我需要去买猫粮。	I need to buy cat food.
猫粮	这只猫喜欢吃这种猫粮。	This cat likes to eat this kind of cat food.
猫粮	喂猫吃猫粮是我的日常工作。	Feeding cats with cat food is my daily job.
打屁股	妈妈生气的时候会打我的屁股。	Mom spanks me when she is angry.
打屁股	他小时候经常被打屁股。	He was often spanked when he was a kid.
打屁股	老师不应该打学生的屁股。	Teachers shouldn't spank students.
到他跟前	我走到他跟前，问他问题。	I walked up to him and asked him a question.
到他跟前	她走到他跟前，给了他一个拥抱。	She walked up to him and gave him a hug.
到他跟前	他走到他跟前，开始说话。	He walked up to him and started talking.
值得	这本书很值得读。	This book is worth reading.
值得	这个电影值得一看。	This movie is worth watching.
值得	这次旅行很值得。	This trip is worth it.
让我看起来不错	这件衣服让我看起来不错。	This dress makes me look good.
让我看起来不错	这个发型让我看起来不错。	This hairstyle makes me look good.
让我看起来不错	这副眼镜让我看起来不错。	These glasses make me look good.
大概	他大概已经到了。	He has probably arrived.
大概	我们大概需要一个小时。	We probably need an hour.
大概	这件事大概很难解决。	This matter is probably hard to solve.
对他有礼貌	你应该对他有礼貌。	You should be polite to him.
对他有礼貌	即使生气，也要对他有礼貌。	Even if you are angry, you should be polite to him.
对他有礼貌	对他有礼貌是基本的礼仪。	Being polite to him is basic etiquette.
批判	他总是批判别人的工作。	He is always critical of others' work.
批判	她对这部电影的批判很尖锐。	Her critique of the movie was very sharp.
批判	我们需要批判地看待这个问题。	We need to look at this issue critically.
复杂	这个问题很复杂。	This problem is complicated.
复杂	她的心情很复杂。	Her feelings are complicated.
复杂	这道数学题太复杂了。	This math problem is too complicated.
老公	我的老公很会做饭。	My husband is good at cooking.
老公	她的老公是医生。	Her husband is a doctor.
老公	我老公今天加班。	My husband is working overtime today.
老板	我的老板很严格。	My boss is very strict.
老板	老板今天不在办公室。	The boss is not in the office today.
老板	我需要和老板谈谈。	I need to talk to the boss.
丈夫	她的丈夫很体贴。	Her husband is very considerate.
丈夫	我丈夫喜欢看书。	My husband likes to read.
丈夫	她的丈夫在国外工作。	Her husband works abroad.
妻子	他的妻子很漂亮。	His wife is very beautiful.
妻子	我妻子喜欢旅行。	My wife likes to travel.
妻子	他和妻子一起去购物。	He went shopping with his wife.
那句话的意思	你明白那句话的意思吗？	Do you understand the meaning of that sentence?
那句话的意思	那句话的意思很深奥。	The meaning of that sentence is profound.
那句话的意思	我不太清楚那句话的意思。	I'm not quite sure about the meaning of that sentence.
看见/ 听见	我看见了一只猫。	I saw a cat.
看见/ 听见	你听见那个声音了吗？	Did you hear that sound?
看见/ 听见	我没看见他。	I didn't see him.
看懂/ 听懂	我看懂了这本书。	I understood this book.
看懂/ 听懂	我听懂了老师的话。	I understood what the teacher said.
看懂/ 听懂	他看懂了那幅画。	He understood that painting.
做完	我已经做完了作业。	I have finished my homework.
做完	她做完了所有的工作。	She finished all the work.
做完	我们做完了今天的任务。	We finished today's tasks.
写完作业	我写完作业了。	I finished my homework.
写完作业	他还没写完作业。	He hasn't finished his homework yet.
写完作业	写完作业后，我们去玩吧。	Let's go play after finishing the homework.
看完一本书	我看完了一本书。	I finished reading a book.
看完一本书	看完这本书后，我很感动。	After reading this book, I was very moved.
看完一本书	他看完了一本小说。	He finished reading a novel.
找到	我找到了钥匙。	I found the keys.
找到	她终于找到了工作。	She finally found a job.
找到	我们找到了一个好地方。	We found a good place.
看到/ 听到	我看到了一只鸟。	I saw a bird.
看到/ 听到	你听到那个消息了吗？	Did you hear that news?
看到/ 听到	我没看到他。	I didn't see him.
做好	我们已经做好了准备。	We are well prepared.
做好	她把饭做好了。	She finished cooking the meal.
做好	他把工作做好了。	He did the job well.
声音	我听到了奇怪的声音。	I heard a strange sound.
声音	她的声音很甜美。	Her voice is very sweet.
声音	这个声音很大。	This sound is very loud.
邻居	我的邻居很友好。	My neighbor is very friendly.
邻居	邻居家的狗很吵。	The neighbor's dog is very noisy.
邻居	我和邻居关系很好。	I have a good relationship with my neighbor.
